,1,2,3,4,5,6,7,8,9,10,11,12
43,4345152,7927445,11193283,14680409,17654095,18867640,19929318,20886782,20772662,22118545,23081678,23047534
44,2725279,4853184,7436665,9699119,12845500,13639731,14216020,15573191,16811790,17885365,17148320,17114491
45,3020402,6321869,8380754,9993068,11612788,14462697,16970398,18973365,19974985,19686646,19887361,19853622
46,3128199,6776324,10679376,12452793,13520499,14682842,15699801,17801032,19191347,19850538,18983053,18949826
47,4187018,7600153,10092671,12686691,15892697,17195664,19692901,20247773,21349000,22840851,24041702,24009275
48,3874376,7564408,11293763,13714954,15696184,17426045,19446879,21221719,21380144,21944674,23173138,23140941
49,3560058,5884079,9418685,12030954,13097890,15903628,16834720,18135192,19598140,19914955,20714314,20682128
50,3652567,6664686,9604994,12295385,14066198,16941598,18552805,19186614,19543347,19698575,18890041,18858031
51,3713377,6289250,9045687,11309283,12424133,14383007,14855556,16059394,16630782,17802235,17085064,17053547
52,3373401,6398205,9643664,12183485,15036264,16070462,17959289,18756544,19498522,20508853,19656623,19625456
53,3730435,6274811,9214946,11850605,13215932,15281291,16441485,18340289,19549498,19953671,20769231,20738913
54,3609301,5457584,8637741,11535802,12509126,14108607,16412943,17797328,17883767,18254645,17701747,17671638
55,3316349,5883567,8349605,9964214,11442281,12948442,14872599,15021825,16330921,17577333,17235378,17206004
56,2775130,6298133,9768234,11558981,14408897,15642699,17203246,18812663,19742916,19655182,19493128,19463764
57,2065915,5528408,8492604,11448426,12784007,13815023,14242148,14398904,16013403,16919264,17501405,17472996
58,2262772,5257846,7336941,9404547,10417849,12165289,13948895,14330951,14372220,15573396,14837481,14809833
59,2302637,4783563,7067189,9252602,10510634,11563126,12602690,14192177,15309696,16081817,15292800,15265466
60,3689205,5528030,7889413,9897970,11200356,12648768,13657718,14011670,14507354,14498374,14220806,14194407
61,2228746,4775758,7519131,9903534,12298814,13381520,14881674,16606885,16414014,16305701,17022585,16996834
62,2455076,4360624,5878570,8297314,10586843,11492788,13287698,13335753,13369547,13863538,13402331,13376903
63,2758253,5670948,7694506,9385195,10328082,11088451,11700687,12501514,12908625,14068082,15038544,15013839
