,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00
38.00,"2,422,641.44","4,618,621.89","6,685,336.42","8,334,965.76","9,684,477.30","10,467,948.97","11,063,173.29","11,288,817.59","11,158,254.34","10,596,517.90","9,704,199.70","9,669,689.22"
39.00,"2,546,767.15","4,716,647.05","6,656,454.22","8,106,068.64","9,436,853.45","10,181,244.86","10,820,600.78","11,011,420.93","10,681,462.44","10,211,582.68","9,349,336.32","9,315,575.62"
40.00,"2,367,071.26","4,420,892.79","6,255,118.76","7,903,124.60","8,932,901.48","9,811,065.91","10,433,788.45","10,577,077.69","10,361,382.01","9,702,740.65","8,932,874.43","8,899,174.03"
41.00,"2,631,992.33","4,915,022.06","6,905,812.59","8,266,952.55","9,525,433.56","10,203,623.30","10,726,422.15","10,729,088.70","10,431,927.06","10,021,910.57","9,305,188.23","9,271,853.07"
42.00,"2,287,107.05","4,333,595.96","5,988,921.97","7,412,357.36","8,620,947.66","9,578,338.22","10,054,490.19","10,133,408.27","9,965,720.41","9,564,270.27","8,707,822.67","8,675,439.62"
43.00,"2,215,914.41","4,404,599.67","6,109,280.77","7,602,651.78","8,749,451.11","9,552,875.89","9,958,929.77","10,230,125.76","9,995,953.19","9,379,366.75","8,444,706.81","8,413,180.12"
44.00,"2,287,918.26","4,271,905.69","5,866,034.57","7,209,529.30","8,379,916.30","8,999,334.68","9,585,676.58","9,593,429.34","9,390,262.40","8,823,302.45","8,056,882.24","8,026,082.98"
45.00,"2,253,080.60","4,221,583.43","6,031,742.80","7,409,309.46","8,408,700.06","9,049,650.80","9,652,629.47","9,720,482.69","9,610,171.37","9,094,704.15","8,204,338.15","8,174,095.93"
46.00,"2,132,966.71","4,014,610.16","5,605,825.71","6,886,508.16","8,001,279.56","8,678,674.62","9,054,549.04","9,265,455.81","9,115,346.29","8,548,321.33","7,770,478.18","7,740,924.41"
47.00,"2,302,565.71","4,242,495.27","5,713,966.14","6,948,846.53","7,954,329.22","8,604,242.88","9,122,349.03","9,275,954.04","9,081,255.06","8,563,889.63","7,754,983.14","7,726,183.23"
48.00,"2,052,275.31","3,800,115.97","5,366,762.02","6,716,786.52","7,786,950.41","8,615,204.23","9,170,360.34","9,199,081.80","8,924,660.00","8,645,178.84","8,027,591.60","7,999,763.03"
49.00,"2,107,004.41","3,798,920.84","5,300,804.23","6,676,093.05","7,678,743.63","8,337,790.97","8,842,515.44","8,924,585.62","8,880,673.84","8,381,771.45","7,656,194.86","7,628,644.49"
50.00,"2,055,778.51","3,690,693.82","5,243,812.81","6,364,627.95","7,200,192.31","7,992,780.75","8,379,815.85","8,397,472.94","8,236,755.59","7,748,943.35","6,963,698.68","6,936,450.44"
