,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
21,-4007276,-3134759,-2132858,-1288885,-594377,31761,1143816,1983776,2817664,3558443,4352622,4900915,5655385,6390001,7104762,7799669,8474721,8961297,9596640,10473043,10901230,11326321,11882246,12323659,12679966,13373432,13849939,14577284,15042927,15459871,15845178,16330432,16624264,17182581,17478282,18035825,18497812,18755920,18795878,18959204,19157749,19336215,19495051,19634032,19753159,20037264,20036236,20095799,20269005,20288860,20288860,20137234,20074172,19742630,19663212,19465419,19183376,19132747,18973911,18903123,18704578,18486179,18175151,17917043,17649532,17351714,16919273,16581747,16496984,16339683,16035654,15406243,14707560,14274575,13524433,13028071,12515851,11979781,11423855,10719490,9855352,9021329,8600880
22,-4017276,-3024405,-2247508,-1323748,-185405,891447,1983490,2669939,3655053,4281933,4971907,5929017,6675887,7191505,8041236,8729142,9254230,9951025,10579968,11112384,11561817,12351454,12901779,13432450,14159101,14737034,15208741,15848144,16359294,16772038,17338442,17606356,17951728,18285854,18600325,18895142,19213247,19706655,19834866,20051065,20267997,20554721,20756904,20673464,20713946,20560741,20605951,20622019,20824057,20843711,20753410,20768019,20728710,20669747,20591129,20756143,20638217,20582672,20525238,20592850,20552909,20470781,20234927,19958155,19682992,19388175,19010027,18437300,18083519,17649958,17256868,16844124,16411726,15932621,15280085,14788723,14277706,13717981,13167656,12673802,11807081,10940709,10311766
23,-4219250,-3265980,-2332166,-1351590,-254303,411237,1250368,2091835,2908923,3670831,4449010,5251521,5803176,6522992,7223353,8060004,8863546,9281853,9857932,10702621,11559445,12123624,12769562,13294833,13966815,14453177,15169701,15617153,16293608,16824306,17482664,17688032,18110599,18325370,18636642,19052634,19204798,19457706,19691159,19905159,19904348,19961013,19933423,20160723,20277450,20151713,20229531,20287895,20432411,20451865,20435846,20416391,20179988,20121624,19778076,19772739,19656013,19519831,19364195,19251671,19321354,19145616,18637999,18385091,18014095,17614968,17284024,16953298,16411178,16052196,15790568,15424707,15144998,14697545,14272017,13866860,13366667,13019175,12232533,11668353,11084719,10481630,9774135
24,-3895428,-2951286,-2026412,-1043651,-157314,532061,1379862,2070397,3105637,3738431,4276866,5028326,5725558,6438482,7289626,7827256,8647270,9472126,10334013,10931327,11509373,12122468,12536672,13157821,13470744,14211931,14450135,14898072,15333207,15979284,16325374,16621968,16735300,17119686,17427978,17460271,17730026,17807158,18152081,18195248,18338687,18512100,18666246,19016390,19131999,19456996,19534069,19822103,19686867,19706135,19837783,19877713,19720218,19492460,19546303,19352126,19157529,18901802,18747657,18682334,18496388,18420217,18052764,17802277,17313018,16923902,16671967,16391715,16044888,15662344,15276980,14744002,14320101,13876933,13489424,13007719,12454699,11830402,11447790,10819299,10241253,9404129,8564937
25,-4035339,-3089970,-2381470,-1343181,-455692,426756,1283613,2051682,2901700,3829426,4601155,5492802,5974928,6863680,7558236,8016408,8838645,9687545,10211550,10931680,11507769,12092590,12501997,13022914,13524538,14006869,14469907,14913651,15295741,15441892,15584668,15982254,16329532,16490598,16799290,17250999,17519461,18032470,18263989,18344854,18273353,18523825,18678170,18813223,19193770,19362350,19192942,19250822,19172828,19424151,19346102,19326808,19222286,19164407,19087234,19047348,18968297,18687164,18309621,18135982,17943050,17895913,17537053,17410182,17302644,16924586,16615895,16477842,16239958,15782082,15491354,14905589,14385309,13727666,13175668,12674417,12172793,11425064,10820733,10299838,9979982,9467916,8797048
26,-4045339,-3109770,-2193296,-1295914,-417625,326822,1292661,2025398,3054492,3660614,4477017,4949126,5755281,6699398,7386754,8055017,8587132,9217209,9828192,10420082,10992879,11638769,12173379,12652068,13148492,13441995,13693585,14132729,14611535,14845951,15106700,15235798,15579476,15904061,16398540,16734529,16857559,17304248,17533367,17743392,18073029,18244868,18397614,18599095,18835861,18962423,19038796,19305004,19074091,18890035,18890596,18837311,18531913,18209405,18133032,18037566,17923006,17876273,17723528,17485537,17294605,17084580,16867819,16525729,16052117,15910030,15604538,15448244,15104566,14741795,14359930,13774289,13442785,13217099,12758861,12500012,11770655,11255138,10720527,10331825,9524390,8932500,8470170
27,-4058715,-2824085,-1788912,-752601,229443,1162417,2169374,2795380,3947220,5047545,5902960,6681845,7666482,8266517,9277976,10003622,10708536,11285921,11949369,12780953,13602313,14027732,14608249,15168033,15954109,16570358,17067944,17424347,17880467,18254006,18913310,19307233,19907219,20337661,20532246,20843237,21133496,21306422,21838104,22203826,22189299,22375894,22310227,22455356,22556211,22577460,22660391,22884806,22638086,22658818,22459540,22438807,22397342,22202114,22346975,21955313,22104340,21808614,21682665,21521834,21314507,20871423,20629234,20535652,20228373,19917382,19406543,18774635,18401446,17928375,17513720,17078332,16622211,16145358,15647772,14919362,14222797,13663013,12891755,12550453,11928470,11285755,10453701
28,-3810898,-2739807,-1903281,-1002729,86964,1170748,2074189,2957097,3701005,4542848,5190747,6045015,6825259,7792366,8646059,9099576,9801639,10217186,11022549,11415477,12071986,12667436,13060144,13896820,14696916,14956176,15448962,15921215,16372936,16566140,16976795,17366917,17933210,18316096,18794534,19135356,19320083,19403815,19474128,19699988,19905316,19979517,20143779,20448422,20571618,20674282,20645877,20677387,20718453,21023513,20956202,21040544,21276844,21215246,21297143,21194480,21071283,21206223,21041961,20720259,20637024,20411163,20254950,19986342,19698883,19652897,19324373,18769815,18589094,18344170,18008568,17335032,16883311,16411058,16070481,15312610,14546171,13793135,13002242,12406792,11742974,10907816,10250768
29,-4031711,-2798737,-1781536,-995445,-313063,601910,1460185,2334493,3188469,4082242,5089664,5882642,6503658,7015433,7747413,8459059,9367344,10038324,10485480,11051217,11458357,12046897,12681046,13154660,13572586,14145838,14633429,15317935,15528447,16123976,16530631,16987586,17552203,18116769,18724528,19022259,19306918,19332722,19318161,19793551,19996878,20179873,20342535,20484864,20606861,20754432,20835763,21063324,20900508,21191818,21302327,21371434,21549363,21488364,21250206,21164356,21268281,21331484,20915437,20729742,20526414,20293189,20038158,19876087,19591428,19096171,18770846,18296850,17646664,17286706,16626899,15973203,15525883,15058229,14792015,14255365,13968019,13419034,12849717,12260067,11710070,11222146,10856392
30,-4177631,-3206143,-2287675,-1141861,-94483,807048,1456826,2383040,3339440,3891218,4656608,5388016,6233418,6941404,7660421,8080826,8731408,9571921,10184233,10809188,11383231,11728735,12264508,13034405,13531909,14246721,14626119,15066218,15487183,15902432,16206554,16570114,16990673,17227822,17746133,18040569,18179169,18399456,18621108,18718594,18851588,18807585,18960664,19127016,19472017,19567690,19644230,19657698,19472692,19621652,19621652,19546195,19659474,19773114,19513055,19405266,19336710,19079551,19064074,18699618,18450161,18191018,17705203,17456451,16978332,16488430,16313985,15842802,15498377,15134816,14617063,14215233,13632528,13014879,12525009,12046640,11549136,11260750,10586194,10136876,9562833,9197264,8841656
31,-4210755,-3327744,-2617844,-1870054,-872840,-197436,427984,1273564,1790993,2519677,3124357,3715025,4314003,4971596,5611415,6233462,6837736,7424238,8105519,8656475,9055182,9437946,9753729,10125916,10419076,10863395,11467573,11777574,12057126,12668407,13091544,13429227,13715614,14242538,14526902,14754587,15003406,15244030,15457303,15865643,16043371,16141044,16035200,16323649,16345291,16522602,16489477,16755435,16597908,16839271,16839271,16968811,16933266,16879947,16622677,16533813,16427176,16505631,16277055,16199783,16272778,16024350,15811077,15638557,15389738,15037659,14607633,14305496,13985586,13647903,13132395,12759166,12185408,11962365,11433217,11148568,10686476,10322916,9825279,9550127,8992431,8441475,7914075
32,-4225620,-3536599,-2693106,-1851202,-923710,-132936,527727,1289008,2152239,2872723,3577199,4253797,5119294,5769486,6467678,7256271,7632706,8096984,8801964,9263343,9543063,10156840,10648878,11339736,11796628,12056554,12478301,12953826,13340427,13608164,14020904,14354786,14671096,15033989,15478117,15706196,15994988,16223434,16434308,16627608,16915950,17074105,17081639,17204649,17310085,17397949,17519933,17393774,17333720,17113507,17278989,17413491,17378346,17494480,17246411,17179396,17026439,16705536,16477632,16319477,16117621,15924321,15713448,15627557,15381538,15117946,14836782,14538045,14088985,13895984,13544528,13291319,12759433,12317698,11895952,11505797,11094942,10533544,10010946,9392319,8878040,8333284,7728425
33,-4082754,-3226906,-2240005,-1377793,-410086,583241,1428077,1991777,2762264,3263278,3997076,4752255,5477547,6156310,6596463,7067378,7691106,8400494,8779914,9348607,10070278,10602281,11176577,11861253,12338221,12700564,13016645,13321046,13590391,13960133,14327031,14714318,15145419,15668944,16037698,16298020,16554849,16829041,17049180,17250974,17431864,17596968,17701850,17840271,18062067,18153792,18309786,18272450,18096846,18241534,18208506,18179379,18349350,18323726,18349394,18257669,18026474,17898059,17886324,17915059,17989721,17649125,17392846,17154361,16897532,16622358,16328840,16211578,15712073,15394393,15027495,14414173,13772403,13350469,13145315,12686692,12019795,11524482,11010824,10478821,9932436,9274556,8546852
