,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
21,-4382069,-3776496,-3235191,-2654336,-2047018,-1490880,-869249,-296096,199379,706082,1129557,1634110,2103738,2596571,2964133,3470515,3937898,4390951,4814942,5198059,5568818,5927218,6273259,6629154,6950478,7255344,7602749,7814894,8029151,8356730,8662000,8874699,9097154,9296798,9494536,9679915,9796150,9948421,10184312,10326777,10450364,10607928,10706797,10821448,10915035,10976828,11026263,11074792,11172928,11185287,11219707,11127888,11103171,11104280,11109473,11047680,10972603,10972519,10883969,10696247,10554156,10411918,10221906,10061244,9888223,9626305,9428567,9286962,9104461,8869647,8605315,8305417,8033527,7749279,7452672,7143707,6775016,6388500,6064958,5705698,5414869,5031751,4625041
22,-4355219,-3727707,-3136334,-2643147,-2002900,-1475146,-976025,-480629,90866,632199,1171039,1678295,2177099,2585046,3005070,3417371,3885099,4272575,4666824,5048459,5441411,5798700,6143667,6459174,6825191,7096612,7443535,7726902,7930182,8218793,8465198,8745110,8919879,9123545,9320670,9477335,9726926,9925170,10073014,10268221,10441825,10593758,10698032,10784274,10858196,10993662,11042943,11090861,11115502,11127822,11197444,11141543,11113853,11127604,11078323,11020906,10946984,10860742,10812059,10701177,10577974,10442451,10240986,10143002,10002276,9817471,9600256,9328197,9106432,8789112,8542706,8283980,8042894,7803644,7507957,7199950,6822516,6501256,6240911,5949233,5579624,5201667,4807418
23,-4434712,-3806012,-3216006,-2638291,-2031568,-1555514,-1059132,-541983,-65094,465264,891306,1370686,1837774,2292571,2730444,3224156,3642077,4047706,4368921,4783049,5151803,5500985,5783423,6115301,6383824,6758309,7053312,7317586,7588006,7867175,8069543,8292812,8514065,8787237,9025562,9182707,9365157,9606116,9696414,9863458,9986376,10105923,10204257,10354115,10381660,10421935,10485552,10545799,10494795,10507087,10420233,10355527,10361810,10324934,10349214,10269624,10195873,10023130,9908939,9847618,9757481,9601487,9478388,9377623,9189970,9050622,8815792,8679391,8458139,8224595,8010593,7792701,7522281,7316384,6975085,6635485,6292728,5883019,5595006,5238544,4879959,4544808,4212360
24,-4420556,-3826831,-3245222,-2720540,-2158876,-1607528,-1074386,-597032,-66360,387440,870052,1342609,1872712,2283638,2652290,3092479,3436290,3772189,4159928,4535550,4899056,5247521,5584898,5954259,6245889,6622564,6913368,7274947,7541517,7795971,7955154,8227736,8445839,8571360,8765230,8946982,9137463,9294982,9513744,9647029,9853537,9969356,10066291,10126123,10177368,10237952,10258534,10294885,10252281,10338465,10422987,10410870,10386637,10350286,10226670,10152046,10110119,9999965,9903031,9858079,9708787,9515417,9370015,9212496,9042860,8775089,8581220,8461090,8248379,8061950,7858020,7603566,7362997,7013067,6725620,6422698,6138720,5876343,5537072,5257060,4833546,4399917,4033027
25,-4400830,-3729572,-3154369,-2591149,-2061296,-1462393,-935123,-348324,86590,505527,984863,1402013,1857185,2300571,2671788,3132791,3554217,3949669,4328322,4671863,5002487,5351759,5732417,6055968,6447750,6747335,7034797,7376117,7640774,7935393,8118836,8317084,8460113,8738203,8929937,9107480,9275247,9431032,9535182,9672409,9834310,9872207,9902145,9986029,10126577,10104198,10212522,10211664,10260517,10272501,10354663,10361291,10337325,10301375,10265562,10205645,10170958,10037496,9941629,9813822,9674988,9543170,9337718,9181934,9014167,8880742,8676024,8472307,8256605,7959268,7646363,7349841,7136054,6860436,6606345,6333313,6021745,5680223,5320416,4972897,4613396,4241910,3817866
26,-4380264,-3822001,-3191159,-2630732,-2082228,-1460821,-936165,-481537,-2822,497599,957762,1422798,1875910,2401630,2839543,3281487,3759406,4079026,4460594,4884558,5286815,5670422,6004294,6326242,6664907,6966375,7252551,7526803,7787692,8038096,8343071,8531452,8667789,8953493,9144277,9355937,9504101,9721065,9864153,9995317,10096228,10203543,10298935,10453769,10525313,10606249,10683537,10719309,10743157,10755081,10820680,10808756,10732314,10733839,10719450,10715896,10620328,10536860,10359625,10252310,10118477,9987313,9786150,9631138,9508054,9329194,9169943,8923323,8762078,8535522,8317411,8067007,7804679,7530427,7244251,6946151,6588099,6294450,5960578,5614783,5336653,5035926,4720237
27,-4473066,-3848796,-3283961,-2660049,-2118749,-1589216,-1071451,-541155,-5354,477109,947805,1406733,1894131,2410634,2800362,3233009,3716736,4128946,4505503,4865554,5282264,5551373,5880861,6191594,6497546,6830672,7113090,7453290,7709175,7949098,8160859,8384440,8585525,8785570,8973849,9108696,9273439,9426447,9575870,9670944,9846898,9896076,9951822,10101253,10255000,10313837,10360906,10339868,10363403,10441116,10407553,10353655,10330121,10279141,10257167,10202396,10159915,10135149,10041702,9876188,9705250,9605840,9464632,9311655,9218164,8990497,8767309,8562198,8350385,8184408,7874466,7676311,7358547,7087897,6764720,6497677,6182918,5803931,5440855,5081297,4728275,4285317,3908761
28,-4372152,-3875612,-3298526,-2749261,-2211684,-1636124,-1121919,-619401,-205463,266655,815022,1310496,1754582,2108116,2474170,2960966,3300213,3627727,4001694,4363975,4784367,5184909,5542088,5906780,6195568,6535504,6817898,7141884,7398986,7644402,7858467,8120401,8330757,8526464,8691832,8886342,9118782,9270706,9493353,9621904,9688802,9793981,9887472,9992480,10062545,10120978,10121512,10119356,10125375,10073637,10121934,10101969,10148708,10048094,10034112,10008171,9883911,9818063,9695497,9621209,9504344,9359588,9195967,8976518,8765079,8546939,8359956,8104871,7885341,7719866,7486137,7240721,7065704,6758439,6397716,6167751,5946928,5670518,5315221,5027101,4676507,4327389,3995018
29,-4422189,-3889068,-3406387,-2939661,-2425919,-1837579,-1329105,-810656,-325295,169650,623741,1144299,1583435,2075083,2464828,2885542,3278454,3680524,4010292,4368535,4656369,4918451,5242026,5575700,5913535,6202440,6479790,6745583,7035290,7219654,7450779,7642814,7850825,8090251,8340344,8587976,8749764,8982429,9123376,9210770,9326332,9389252,9414690,9508362,9519826,9561925,9608149,9605104,9577351,9520766,9520766,9556150,9589101,9554432,9508207,9450426,9381089,9232651,9140201,8974578,8920012,8792894,8633179,8532689,8431706,8237176,8011087,7761079,7570199,7350631,7119507,6944874,6689421,6468711,6219902,5999778,5699316,5371971,4993501,4686098,4339411,4024113,3636436
30,-4438277,-3876426,-3326042,-2867038,-2373971,-1897995,-1412809,-894826,-413239,56880,467566,929207,1314004,1732001,2165468,2566790,2956645,3335034,3701957,4019620,4395136,4790134,5111191,5439925,5738050,5997558,6272751,6586051,6878140,7076339,7263755,7495430,7701824,7886822,8083484,8208034,8440857,8589919,8727515,8853645,8968308,9071505,9091045,9112794,9112072,9171682,9217547,9217166,9295400,9306866,9306866,9295400,9344960,9347396,9266029,9135449,9066651,9047712,8981325,8804970,8690306,8645460,8452246,8303183,8142654,7970659,7794662,7557697,7362037,7144176,6976443,6816747,6550574,6286848,6025778,5747111,5415210,5152665,4865482,4453158,4109168,3762998,3396075
