,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
21,1297039,2565305,4042343,4961560,6162056,7027690,8465152,9597158,10707294,11794840,13164721,14518709,15768965,16489554,17407554,18271479,19161509,19885923,20624750,21486396,22017592,22596625,23395092,24049061,25018098,25705907,26234618,26915544,27538234,27970460,28714108,29304674,29692233,30237620,30760417,31538303,32015920,32432727,32865163,33322979,33817966,34182633,34706743,35196627,35398633,35989979,35938172,36228100,36216760,36132932,36599267,36906609,36905181,37144596,37139975,37141668,37167485,37083316,36926193,37009537,36813398,36726265,36616542,36346377,36083670,35818575,35618493,35256521,34974637,34706784,34416341,34103309,33767686,33449510,33049589,32450512,32062145,31356717,30885554,30391802,29634845,29095913,28534391
22,1247622,2238984,3422215,4433501,5593790,6732244,8152299,9049618,10395607,11448930,12534958,13542413,14820094,15832446,16774400,17694521,18592809,19469263,20323884,21156671,21967625,22588858,23356146,23947599,24626217,25251322,25879193,26646948,27283235,27897689,28395209,28965996,29514949,30105614,30841624,31325077,32070323,32220404,32375628,32811519,33227876,33580329,33676161,33901660,34188613,34476207,34631244,34856142,34785806,34798288,34954240,35088360,35200646,35291098,35359717,35463827,35396681,35399800,35381086,35340538,35229916,35154844,34787501,34496921,34347207,34175659,33767575,33718740,33481692,33222811,33152354,32705856,32471015,32215696,31847648,31457766,31151235,30717686,30262304,29785089,29022180,28707873,28165157
23,1236193,2611518,3804445,4912937,6062597,7013090,8143640,9422782,10485908,11590154,12610014,13608240,14596420,15308200,16120773,16769569,17726321,18594747,19690998,20516157,21437636,21985983,22769869,23577449,24294441,24989799,25585520,26237612,26868070,27599150,27925373,28490931,29017378,29539670,29781118,30499260,30944120,31379878,31794003,32322633,32842757,33191982,33519573,33771714,34247314,34510005,34751063,34970487,34898528,35125674,35161891,35186994,35389402,35328756,35291770,35229765,35254489,35072915,35054372,34716636,34654826,34571383,34379131,34126298,33740781,33682691,33491081,33277838,33042961,32786451,32515771,32367653,32046243,31703199,31418875,31032565,30624621,30195044,29546661,29136312,28342968,27826857,27245455
24,1234039,2375938,3768292,4811851,5854867,6876476,7916679,8936543,9874741,11126434,12085281,12886941,13805109,14677605,15555095,16233698,17160272,17791464,18775499,19637046,20329368,21308949,21883110,22723771,23180845,24070640,24704060,25317140,25951349,26630833,27182896,27558469,28103036,28634589,29105296,29555663,30142464,30552153,30796551,31164384,31633108,31851664,32398662,32872477,33303651,33433888,33660525,33786399,33704536,34093250,34187038,34520081,34729114,35067923,35257315,35056912,35080157,35083063,35039605,34868395,34877031,34798580,34699790,34520861,34381392,34176141,33995994,33795508,33460291,33219127,32779931,32431289,32129107,31927024,31584164,31328912,30945374,30509185,30220493,29867795,29527893,29196572,28690999
25,1082084,2145231,3189442,4214716,4958805,5946206,6914671,8027891,9140858,10052514,10945233,11633955,12227966,13063876,13880849,14883411,15746827,16506991,17001599,17723890,18441972,19113138,19644580,20291125,20976506,21735649,22554610,23125409,23615780,23918303,24562550,25014113,25711047,26168227,26650647,27172808,27452962,27834397,28133800,28378350,28702975,29005255,29513296,29840669,30008817,30238760,30590023,30823136,30996270,31339451,31362638,31644447,31894562,32113535,32173050,32312381,32101800,32346066,32135525,32100358,32046254,32208665,31926644,31815730,31685880,31705899,31591738,31463055,31009993,30714259,30437739,30175334,29780543,29480264,29183070,28689666,28076755,27770362,27404671,26792135,26359301,25907531,25554228
26,1204045,2118902,3147924,4243292,5318428,6373334,7621340,8829875,10042197,11047864,12161981,13117252,14203237,15096295,15969121,16700655,17533019,18345152,18918588,19943609,20455137,21186346,21897323,22588070,23258585,23908870,24538923,25310129,26082935,26839545,27388675,28123944,28672884,29161320,29396826,29844800,30348391,31012649,31399929,31642127,32134162,32557224,32712189,32849674,33115568,33361231,33660344,34052785,34237755,34207288,34252064,34268751,34655268,34739082,34866796,34743844,34766965,34775644,34758303,34720731,34882407,35043146,34660195,34541699,34402972,34244013,33979508,33780088,33560436,33054598,32839604,32556689,32291945,32009613,31490070,31231642,30850142,30448410,30066129,29893103,29655244,29264231,28761345
27,1156878,2358171,3474559,4570701,5413609,6469260,7641905,8383989,9378904,10204476,11158900,12039241,12953174,13846863,14720306,15536588,16642890,17192258,17984719,18756935,19508906,20245016,20956496,21823212,22494201,23373411,24105653,24715906,25300484,25994365,26543882,26980244,27489271,28075350,28728950,29348398,29516966,30170226,30557780,30925089,31371215,31698033,32004606,32290933,32557015,32789634,33132873,33097744,33440099,33604954,33675194,33534987,33639106,33952025,34002240,34045623,34174985,33955836,33944277,33810825,33902517,34099438,33878763,33627593,33352408,33193337,33123099,32926290,32932614,32700198,32716564,32436021,31980550,31924697,31778737,31635058,31253288,31044687,30375957,29933451,29192859,28643587,27976129
28,1065018,2190422,3484033,4569347,5789293,6834516,7946658,9170142,10343045,11308086,12249734,13036108,14215901,15100761,15771194,16377372,17456434,18261112,19045745,19982867,20496123,21453323,22112986,22595867,23260228,23904543,24324408,24928632,25486324,25951584,26654493,27292108,27796106,28198638,28683943,29386384,29859988,30465495,30791974,31069069,31334266,31760669,32204588,32623286,32796470,33039878,33509722,33805482,33968167,34131393,34254110,34377245,34480336,34563381,34737515,34969049,35063412,35113782,35115645,34845965,34502867,34144557,33885924,33556336,33440681,33283182,33105637,32953739,32798577,32429481,32358461,32080690,31658622,31340760,31006413,30563381,30103253,29718797,29300708,28862574,28598612,28120387,27392762
29,992639,2126973,3532811,4705231,5603023,6732134,7547694,8794587,9990806,10769585,11774237,12482507,13262436,14218314,15179442,16065712,16749723,17657727,18512273,19338226,20007258,20564811,21138233,21798133,22515814,23247469,23864138,24516857,25147922,25757333,26345089,26911192,27249533,27772327,28273467,28752952,29011982,29628507,30334897,30768957,31305904,31773083,31825186,32126373,32519413,33079910,33321199,33540835,34034266,34138203,34292876,34480923,34785075,35022002,34908819,34995835,35020583,34947746,34918208,34822196,34669389,34585865,34629159,34502327,34353841,34183701,34076284,33865107,33630005,33373248,32989211,32877980,32789288,32220904,31712324,31325642,30917306,30750389,30298744,29879475,29315724,28799117,28441475
30,1225954,2401202,3797328,5069036,6209173,7327856,8282404,9274677,10533978,11533349,12706855,13461311,14429815,15376864,16053144,16669632,17643783,18728474,19568252,20681780,21546723,22553171,23307132,24039640,24750693,25440292,26123384,26770075,27129508,27953054,28535382,28835166,29374586,29728563,30225074,30700131,31153734,31513750,31702741,32330051,32697837,33271337,33596215,33954851,34190891,34615233,34657812,35045234,35169119,35343817,35666927,36009954,35939476,35755243,35581087,35689705,35714224,35461408,35443019,35326943,35265645,35028435,34835096,34709436,34562321,34395891,34142484,34053497,33522337,33034914,32759074,32461780,32143032,31993968,31598208,31167883,30999072,30694594,30247121,29922813,29632831,29241277,28710266
